Ageofplant,soilmoisture,soilhumus,temprature,humidity,waterrequired
121,468,75,319,315,3230
4810,140,187,284,475,675
2317,111,496,31,27,3110
3101,84,113,252,296,8547
4777,430,495,282,309,6105
3753,15,6,260,437,6807
1595,237,365,477,338,6874
666,345,214,176,10,2083
4246,362,497,106,208,3521
574,255,133,318,431,7084
3695,217,291,36,326,1403
704,235,381,459,23,2131
3822,26,147,498,485,1917
1759,142,482,90,23,6740
4819,32,368,19,397,9854
4225,185,333,327,442,968
940,298,168,113,473,6030
4583,314,147,152,321,2284
2713,270,116,298,437,5168
2711,117,154,354,94,456
1862,241,255,180,47,4627
3989,280,256,150,320,6199
2324,395,41,308,195,1782
4693,389,218,421,193,4282
3579,98,30,115,375,5787
3201,318,72,127,218,8055
4829,68,263,477,385,2684
633,264,140,385,351,2610
1189,44,54,429,370,9610
4494,152,64,214,34,2392
470,370,482,124,423,2710
2984,69,107,118,196,6560
3820,189,181,178,110,4312
814,438,50,251,416,1125
762,479,20,277,133,8251
172,73,394,329,193,3388
4984,168,185,414,250,7221
1924,60,26,431,357,4534
1416,264,347,140,233,9788
1701,107,71,63,306,171
4315,212,251,360,410,4317
514,156,415,163,309,3978
3509,464,412,141,203,4074
2117,201,331,183,420,1093
1625,428,312,13,340,1454
4654,212,461,180,89,573
4595,207,334,41,149,8540
1282,412,279,459,201,2646
68,37,410,15,179,7744
1086,483,118,403,60,9806
2986,75,410,432,264,923
2601,123,8,180,206,3273
3772,257,268,126,291,3648
5000,160,356,21,242,6099
1456,257,349,307,294,556
1933,395,115,211,403,5794
4911,48,74,360,74,7458
4064,87,326,340,385,7732
4544,378,112,370,207,5804
4984,90,252,106,286,8419
4678,500,395,88,90,8285
4029,229,228,257,262,8494
1288,364,498,93,211,9451
4741,135,49,325,356,1572
957,339,355,5,89,3845
3407,481,295,116,75,6943
1359,297,174,380,104,4544
3714,12,200,328,400,9309
139,396,204,293,360,9940
35,422,458,250,66,2074
4473,75,288,438,496,9951
1628,456,1,174,341,1209
1577,254,11,393,218,3117
3219,432,231,164,331,4230
2112,368,136,251,66,9521
3442,307,30,386,238,4518
2824,28,309,65,306,8196
1020,89,23,364,320,3630
3444,34,261,359,319,5839
4875,353,147,428,241,1457
1639,470,350,440,164,8122
1341,220,255,16,18,6336
1735,35,30,102,48,5969
4794,364,370,314,266,1668
224,317,38,367,471,8470
2475,224,281,257,453,2612
3378,370,63,19,489,9849
293,257,47,330,293,7378
1531,170,94,16,199,265
3079,264,266,455,235,1
1627,474,114,468,357,9245
1384,491,500,248,430,9544
2567,151,362,201,274,3280
2276,178,19,470,391,324
1397,287,8,251,100,1793
2259,323,19,200,106,305
1488,320,146,314,89,9092
1695,171,270,54,112,1155
2051,275,25,298,14,6398
2496,489,359,354,305,4673
4558,294,500,251,187,9970
3301,388,277,66,366,4212
3507,124,465,141,123,6667
1454,316,185,458,238,3244
715,368,88,129,364,329
2864,495,296,159,26,3805
1046,145,495,215,367,2871
772,82,159,365,434,3445
2585,41,277,488,109,1259
2018,20,359,234,68,1193
794,340,170,384,175,2257
3730,87,126,158,492,9436
2163,484,75,310,319,3957
1637,41,290,431,100,4480
126,220,454,34,406,6802
3290,65,29,428,265,6727
4620,126,411,397,464,9077
2990,458,452,477,14,8115
1585,484,124,7,318,8122
3071,76,136,168,64,4416
1325,392,303,460,170,9516
4687,86,54,294,295,9356
2043,220,231,475,144,8705
1888,323,484,276,219,7752
2869,393,390,369,16,2326
319,24,194,102,227,8188
3107,313,139,250,439,5038
4312,97,181,387,113,6164
1684,226,492,157,239,9107
1807,220,350,479,389,9581
1699,359,169,67,119,8150
2601,105,230,13,74,5338
4141,266,64,423,100,2341
4114,436,237,14,478,5211
3613,42,138,214,280,5831
4425,406,106,35,292,5228
3887,481,57,206,451,5613
365,181,238,363,373,3355
3000,189,199,198,213,8668
3480,227,147,162,436,8587
4806,252,27,171,274,5007
3738,142,182,445,270,8313
1749,35,38,128,473,9565
2584,40,361,204,472,195
1963,433,224,208,269,958
976,299,115,381,325,5701
2419,38,27,149,306,5151
322,75,417,26,133,514
4693,332,488,368,16,655
2148,110,430,36,391,7953
3535,437,297,323,114,5702
2961,126,307,117,442,6826
4963,37,12,454,199,2513
4278,37,467,117,37,4999
1153,53,298,120,147,6208
465,105,495,212,99,1514
4466,62,150,189,230,5359
4984,286,258,334,90,6659
2507,333,144,244,84,6800
2195,177,107,489,53,6317
1559,249,176,414,355,5753
2356,242,485,155,49,1116
423,389,369,347,402,4385
2546,425,243,61,227,609
4310,349,436,218,148,923
920,378,256,323,78,5081
2848,53,424,51,484,9018
2941,347,35,230,98,115
2013,160,466,8,212,6830
4924,393,202,311,204,9089
4186,138,454,458,325,9450
1371,208,371,30,245,7933
4672,362,427,53,44,3082
4863,390,70,447,333,2510
2449,125,479,257,185,4666
2052,468,413,498,138,4556
4132,313,49,267,142,6873
1858,284,479,341,457,7142
2773,217,257,287,450,152
535,191,35,165,3,1855
4844,228,430,12,87,2858
397,24,12,339,391,4034
346,212,384,22,99,9105
3726,312,84,344,311,7890
1810,55,208,389,145,5976
1059,301,411,220,291,7912
3136,495,195,367,435,9597
4063,407,340,291,16,25
4241,418,5,96,7,8923
1051,180,308,110,56,8202
2255,344,278,193,125,9509
3907,168,131,327,30,8541
393,193,59,443,77,9346
1460,54,31,37,489,4968
2369,287,256,182,110,2842
2193,122,243,30,91,8674
571,18,1,215,384,4888
3720,251,268,382,377,7832
2011,25,161,298,252,2001
1559,209,239,460,42,1761
857,100,308,263,444,7833
2915,458,395,83,467,7912
2277,465,435,269,122,1864
1905,158,148,127,179,2959
2320,351,301,349,156,5708
3882,162,8,254,234,1907
3119,269,361,157,94,9784
4446,160,281,102,308,274
4149,395,77,389,200,557
1912,244,159,253,139,7681
298,396,67,24,296,5678
4651,262,323,251,57,6712
1574,270,99,90,328,9782
4228,454,210,292,387,3827
4129,255,459,12,322,4393
570,489,81,458,139,6701
4248,85,423,66,143,7721
3575,296,174,342,476,3534
2042,65,152,200,497,8085
1339,75,303,436,308,7764
685,488,269,127,243,244
4075,305,169,176,268,3341
985,254,487,5,387,17
1434,297,243,417,54,2058
2688,82,272,56,63,5679
3270,328,195,163,296,3327
3740,341,166,470,124,2118
159,377,358,443,97,852
596,443,41,332,81,9873
1390,193,340,343,350,659
2068,305,394,326,118,1768
1588,213,98,305,372,9414
3837,408,471,437,111,6749
3700,183,479,99,51,1433
2766,15,242,67,259,8554
1477,448,489,69,224,6954
2605,58,172,85,463,3001
4058,116,194,268,385,1050
4419,39,200,432,196,6250
883,191,310,59,257,6477
4164,235,467,6,42,2523
3091,156,400,352,123,6506
1497,214,27,500,128,2838
2133,371,43,1,357,486
1662,261,185,173,341,5480
1111,277,228,243,78,379
1253,493,314,237,349,7250
1040,231,30,172,310,7614
4862,148,343,325,262,5343
583,469,213,147,247,5060
680,223,79,263,169,3434
1686,25,324,289,467,3040
2364,133,138,77,227,5654
4162,96,438,225,27,3673
3313,215,42,390,251,6967
283,98,299,413,161,794
3075,451,258,83,226,1705
1174,255,149,387,422,4568
462,478,421,283,365,8409
851,69,455,251,226,3957
3803,252,274,94,146,8050
129,273,242,56,5,7391
2243,386,103,46,193,7236
1164,209,292,6,327,8055
2825,161,423,362,493,1210
652,450,407,315,302,4210
2479,224,345,146,139,7696
3826,118,340,167,83,5194
237,18,292,298,339,3716
3201,43,78,461,462,9554
1242,118,316,451,130,2806
4414,26,25,297,407,2231
1136,470,361,412,172,5211
3910,226,472,111,425,7701
1508,83,13,186,261,6175
122,55,37,229,7,4424
1468,385,422,66,150,5683
3323,57,336,22,169,4308
2019,53,154,224,263,6085
3527,404,249,292,253,2288
2011,191,333,328,35,1316
4254,352,316,84,262,5235
1909,433,160,347,430,6371
4636,388,273,44,371,7724
4588,275,1,268,307,2382
2217,304,116,428,307,8363
4602,208,180,285,410,4894
417,491,62,456,187,3679
3887,435,224,489,66,7132
516,304,221,366,288,7307
3228,48,228,177,210,1447
2389,87,459,249,154,2157
1383,152,224,14,404,7039
893,29,291,96,287,4274
3835,492,258,237,449,2818
2058,318,427,154,327,8933
2724,326,491,28,173,4005
4986,466,460,464,368,398
1315,391,286,186,363,8228
3560,445,193,126,446,5860
1642,471,162,442,272,7027
3282,53,182,356,192,7873
145,54,257,406,471,4294
4629,271,369,73,399,7713
3123,19,184,246,254,8116
1822,28,420,373,25,9844
1191,275,439,218,315,9398
4971,497,191,405,166,4356
1271,84,113,84,41,4562
2263,317,236,120,411,1033
1835,100,323,29,69,2366
1008,296,106,419,275,6744
4170,70,15,170,185,952
2809,356,408,44,441,9374
3862,241,482,80,444,6009
2592,219,225,308,144,8487
3375,438,326,493,476,3747
4085,431,476,284,126,7007
3430,500,387,248,264,3815
1553,271,406,497,176,9432
2818,418,218,283,268,9196
3915,215,73,365,102,1078
4080,459,13,145,288,7608
2691,452,89,51,412,4508
2869,481,429,20,21,7176
2006,475,99,317,477,9486
936,283,390,458,317,8866
3760,423,294,196,200,9036
807,401,436,461,90,9746
4736,451,3,242,295,2774
399,15,286,277,330,3090
888,108,404,311,455,9925
2501,437,9,113,288,560
2185,495,87,214,97,5759
4041,399,168,420,305,3573
2771,439,41,400,273,373
3005,347,420,470,195,4391
2361,413,94,388,226,1454
3754,379,192,327,100,4089
3528,386,457,329,119,5456
4762,414,381,33,7,3184
1709,240,174,30,450,1627
4043,222,24,93,147,402
4837,65,499,85,70,3017
2838,384,446,342,57,4545
1056,312,62,164,253,1560
967,140,80,278,246,5140
1250,190,56,351,359,7646
636,98,408,166,199,3933
575,263,67,155,249,36
2566,99,393,63,61,1675
3086,159,448,330,330,8085
3954,467,370,184,410,3035
1374,191,14,31,76,267
2236,217,204,19,270,9579
2804,453,166,463,172,9679
2844,321,340,33,62,8892
4094,81,226,314,338,6170
749,370,475,185,129,9325
1855,372,110,49,347,8750
953,414,445,357,326,8246
4168,420,139,340,236,7293
3507,312,482,106,33,342
4365,363,293,477,98,8757
3461,244,187,405,85,1782
1092,210,365,374,31,454
1944,63,6,358,419,1145
4765,455,316,327,59,1550
1897,68,160,456,182,3379
2123,61,415,385,354,1142
795,394,114,60,24,5307
109,146,332,326,390,4525
2306,112,440,149,208,3550
2873,406,392,156,183,1481
863,352,497,279,361,8524
1620,169,410,203,441,1136
2039,267,449,134,344,2781
2868,246,264,429,50,4306
2693,362,336,319,325,3425
479,428,47,200,144,1536
2980,328,41,290,35,1523
4670,137,425,70,436,9563
4253,348,383,17,91,4285
4524,403,93,229,470,4322
1501,478,267,336,420,3923
1338,234,335,97,75,2330
1849,312,299,470,237,2965
4041,390,500,213,218,6085
1077,482,313,351,481,2168
1958,170,257,383,273,6484
1237,290,477,215,396,4432
2867,426,218,217,406,4252
3478,190,278,248,29,5734
4326,41,322,381,247,15
674,110,157,190,61,9284
1544,455,251,88,58,7410
4059,126,375,399,394,2431
257,31,36,119,228,1358
1840,430,42,137,42,5580
2640,265,346,432,260,9899
3604,61,121,24,265,2370
4063,122,331,342,142,3983
1738,157,452,246,403,9769
1758,291,5,370,378,5940
360,158,59,333,179,8331
3337,105,238,204,120,2039
2340,63,307,156,418,1476
4365,412,243,37,417,2323
2179,35,2,433,266,8427
458,156,479,323,317,3419
4197,71,41,158,460,3713
3817,124,40,323,342,9189
2637,273,403,360,374,287
4430,179,325,161,347,4905
1346,89,466,217,73,6334
1626,308,174,251,237,5465
3884,38,412,82,22,7462
4782,303,11,325,104,3554
2093,300,346,160,29,3824
4621,271,31,5,294,137
1181,235,4,283,69,3769
1461,129,392,286,352,9797
2484,207,15,96,228,3131
3666,433,447,104,498,5627
3862,191,70,462,485,7342
410,399,405,208,225,1368
2996,449,183,207,114,2818
3633,180,209,154,10,5771
333,438,259,19,15,9108
251,88,69,425,88,9836
4405,183,266,216,424,5217
2038,87,272,486,348,2578
1123,52,494,457,485,5350
4400,238,444,483,183,8377
2965,355,88,24,252,5725
2994,10,406,166,481,2472
556,300,50,365,449,7988
452,224,174,373,379,9454
2064,273,48,204,253,2017
1231,175,73,296,388,1611
3032,222,440,374,466,1731
4216,350,235,245,391,8704
736,488,23,216,418,8851
640,299,432,169,271,584
4406,468,48,25,212,312
156,333,340,24,41,6805
225,352,44,142,178,8367
52,439,382,305,348,345
840,486,483,69,98,1216
2681,460,353,188,70,7751
4108,234,106,259,447,6974
2249,251,322,45,354,1278
3872,199,186,309,437,9365
3282,320,197,262,144,7392
3555,350,27,93,489,992
3465,44,370,255,279,3664
3242,249,476,428,396,1135
419,193,281,434,215,1857
4545,276,30,105,245,6429
4817,294,339,478,404,6191
686,414,186,76,127,4702
2192,141,462,391,298,4865
4965,130,206,10,198,6068
886,304,175,291,205,4217
2224,170,416,26,353,9142
4062,160,451,200,320,9162
3343,59,445,37,46,5617
3816,404,251,425,159,9336
3193,433,213,256,73,1180
2812,71,492,286,442,7056
4284,52,304,59,430,3551
3970,136,347,393,417,2023
4889,59,37,230,159,9004
353,489,394,308,379,7514
143,457,213,123,350,304
3309,163,408,223,96,7746
880,24,70,396,159,5157
3382,395,464,143,469,37
3749,188,307,449,337,9168
4224,458,405,356,427,6479
2704,232,304,65,450,3958
1458,198,149,355,363,3792
1324,226,491,10,56,4753
579,353,348,427,469,5760
1486,480,125,47,91,2340
961,85,127,158,259,7805
2564,41,455,90,486,2427
1840,314,228,74,25,789
3287,11,31,261,182,8340
2524,22,225,343,249,9610
4865,123,184,29,221,1600
773,171,358,392,132,2554
1157,46,123,442,236,3922
3475,493,245,415,354,543
3022,72,174,257,211,5697
3144,265,114,386,479,6092
3971,356,229,490,4,2636
1559,170,434,68,357,154
4919,240,453,463,234,2476
1,334,221,281,480,6048
1934,333,110,436,496,2523
1342,71,73,300,90,1781
1626,322,379,166,283,7724
396,348,189,391,211,4989
3041,404,145,213,154,5978
3613,59,39,117,8,2881
17,40,449,288,387,3402
1665,304,416,423,140,4512
136,32,219,357,139,3859
2357,475,300,39,391,3665
3874,186,51,227,2,1401
2839,100,44,85,10,5797
2462,451,431,112,364,8622
3827,77,208,164,85,8142
181,178,474,143,476,1411
4361,137,480,109,246,7307
2528,436,348,146,211,8306
2638,94,21,290,294,4771
407,135,366,302,288,5605
626,64,430,356,166,2194
1920,142,105,204,494,8913
676,494,137,412,122,3420
1907,300,406,480,464,1974
57,58,220,260,176,8626
2201,8,159,450,444,9369
4512,83,266,2,499,5458
4266,192,132,76,377,1714
4446,141,310,385,299,4329
664,280,289,338,497,6656
2319,19,285,304,181,7851
3113,471,427,13,448,2508
4664,395,494,310,265,502
4720,28,316,38,28,1300
1820,124,129,331,445,8240
1485,452,313,60,181,1774
4813,285,433,351,163,3898
884,453,41,145,271,9750
84,376,36,12,103,902
1757,416,425,151,13,9537
2375,160,166,176,150,131
1386,173,330,376,470,5056
4783,76,343,128,57,2708
3922,283,500,210,348,2862
3883,71,469,361,421,796
2601,13,15,134,252,984
2567,272,322,456,324,5480
3433,293,352,184,168,9842
2770,6,129,99,253,6592
1800,49,458,23,138,5532
1995,447,33,258,45,8881
3016,157,235,158,7,6909
3928,305,171,300,494,4767
4331,320,394,24,424,3981
3150,344,418,266,2,8004
2976,341,175,488,108,2240
3832,488,485,137,69,26
4423,476,321,305,145,9570
4679,249,73,14,17,1858
3213,343,36,31,357,6484
4779,426,200,181,188,3884
2177,475,406,348,327,7771
590,170,497,393,415,1315
3719,210,330,72,193,5182
3387,40,192,275,498,499
1654,425,482,123,405,9145
4789,353,36,254,336,6031
4290,397,115,59,363,9470
2968,73,90,179,270,6104
2304,362,233,102,54,9603
2206,200,162,98,395,2242
865,390,257,44,386,4988
3966,35,200,129,366,3993
3211,39,183,416,140,6304
4702,85,275,282,424,8599
1235,346,36,169,42,7893
1276,420,233,168,158,5883
1433,19,22,351,325,4633
659,219,64,257,274,2245
3683,17,488,421,308,3813
2220,20,487,184,477,8218
4217,217,214,462,356,6572
3838,193,178,370,469,6452
1468,28,409,299,282,9174
200,210,377,101,295,921
2064,227,13,414,243,5227
3397,232,8,330,108,3888
2166,38,4,166,169,8730
2730,116,179,2,260,9122
3899,320,470,272,6,5745
778,129,114,323,188,560
1672,271,449,119,429,1852
4170,83,451,331,308,2182
4486,105,251,478,118,5012
1870,86,266,345,135,9103
649,143,172,333,90,9882
2724,353,74,274,41,2332
4431,406,47,130,494,1875
4380,426,408,385,434,6234
3757,183,274,414,56,6063
1262,327,456,269,194,1746
3581,90,43,339,59,224
4039,366,332,23,50,171
3400,282,62,288,87,9698
2753,340,397,177,98,5193
1589,265,424,235,100,6229
3592,253,241,443,298,2352
830,356,134,53,496,9184
794,312,451,17,131,9332
4107,376,365,387,393,8488
564,6,160,447,50,8852
153,365,112,106,19,7015
4318,125,305,473,43,685
1422,414,27,261,489,5392
2270,367,434,448,254,669
2180,433,87,284,77,1018
3097,198,82,425,398,6702
1251,343,446,372,69,3521
2409,277,351,316,3,2460
4026,162,257,434,270,8480
3474,65,90,337,267,2329
629,41,303,66,263,8502
2761,250,137,82,32,7398
724,332,406,266,421,7547
4020,194,431,285,186,3588
4376,390,484,291,298,7753
4876,237,491,6,363,4274
3816,22,335,53,187,7489
1838,140,122,52,494,9424
1372,44,182,496,39,3495
16,151,458,231,301,6656
1688,364,261,421,368,1915
2667,141,393,275,477,4292
3823,280,83,324,368,6806
4059,335,339,254,87,3922
3792,307,241,406,24,1437
4301,292,212,318,486,5222
4896,420,470,395,154,5005
3068,472,325,301,23,2272
1798,421,254,145,433,5763
3626,347,48,139,480,8139
942,191,310,162,253,5416
2364,119,203,138,229,924
532,65,320,365,442,8429
2104,245,27,97,460,9361
3566,263,139,4,422,5419
1482,401,11,417,186,529
570,106,358,107,303,3466
2573,296,291,177,195,3062
3529,39,162,316,302,1969
165,104,278,272,385,7879
1745,329,50,418,280,6637
4469,225,330,69,448,4166
2681,380,261,12,194,7033
3594,352,115,179,370,4958
2798,68,48,83,297,5654
85,139,455,12,19,1370
4487,488,465,495,346,3021
3933,167,379,245,292,9694
1071,149,211,2,280,7377
1467,361,447,21,388,235
4106,172,410,267,334,4030
2053,76,441,21,370,484
2126,323,333,126,471,8791
3050,111,33,264,424,5326
3826,121,199,406,118,7978
3170,42,24,193,208,5949
4689,124,166,398,123,1791
1690,316,168,239,311,4475
1186,333,387,218,190,5755
1328,252,348,130,238,7396
3699,418,433,361,438,8523
1357,458,334,52,483,1710
3842,478,82,98,379,8702
3019,97,438,129,309,79
3303,98,35,366,377,7525
2436,89,114,147,192,5073
2572,66,358,370,478,5869
898,484,295,293,459,8464
3011,281,113,303,463,4766
674,368,15,426,156,3834
333,89,131,82,40,2319
3626,91,468,419,418,4051
1383,23,117,473,458,9574
4365,381,421,253,436,2169
349,116,178,270,347,8255
4147,314,236,446,489,5119
4297,376,108,249,61,9679
634,23,446,454,306,2062
3564,402,100,359,375,2440
1001,163,33,434,462,2278
3875,165,434,208,37,8527
3826,373,454,336,147,2137
3820,266,114,411,227,201
615,344,423,470,375,562
2133,469,301,187,118,3972
4479,176,179,400,228,7868
1140,163,499,282,217,6133
725,145,9,177,391,8866
930,365,354,458,124,3320
3695,358,435,125,489,7862
3349,149,420,496,350,1750
1641,320,352,106,363,146
2890,318,42,228,85,9108
4317,94,366,348,285,5301
3028,59,249,357,202,7765
2073,72,327,90,378,7921
367,89,75,206,178,8230
357,492,181,255,180,8566
3317,484,483,60,129,5171
414,295,127,247,88,7619
1756,63,490,490,254,8844
2986,78,249,171,318,8691
2950,142,18,422,444,2786
2527,419,124,367,202,2648
2550,485,499,204,260,1884
130,424,412,165,261,7195
669,498,481,291,427,2946
1937,273,347,86,84,616
1544,266,161,97,294,4421
2549,464,269,33,30,6562
2521,334,440,157,113,2255
631,365,43,94,472,5054
444,63,196,449,34,5675
4548,214,261,3,491,5791
3235,305,37,5,195,445
1697,410,190,494,397,7257
1251,376,480,407,373,5530
2318,465,441,433,134,8207
2518,125,276,336,136,9468
1130,385,482,300,493,2897
4340,341,481,445,254,8084
2287,289,265,237,437,8572
226,68,373,141,178,4249
1839,274,472,7,359,1379
3137,265,359,466,55,7121
934,330,88,441,244,1883
2460,200,87,83,96,178
3683,75,116,124,472,7599
1755,313,453,203,224,3923
4360,242,265,439,352,8878
1212,239,34,375,152,4400
2343,334,481,442,418,5820
1114,176,446,274,209,527
738,79,312,304,41,641
4972,90,65,283,286,4468
1650,104,253,492,383,7914
1542,499,287,475,296,116
310,49,468,5,211,6956
757,416,51,14,228,2012
2198,136,16,69,293,5582
2963,65,288,448,82,5242
1200,458,177,15,178,3865
2097,307,222,115,376,4298
934,119,377,388,292,617
2873,212,337,377,246,5607
2830,457,260,74,376,9249
294,5,217,206,286,7949
679,464,129,144,6,5379
1862,467,162,473,171,4303
2299,283,59,108,458,2711
4852,225,477,163,129,1202
4847,104,264,452,328,8047
188,36,169,199,184,609
4803,64,67,2,206,650
4478,450,122,104,306,4330
3865,497,464,126,379,3039
2520,440,215,81,141,3781
2771,65,252,232,32,3966
3910,465,141,198,494,9733
721,231,72,332,429,5824
4608,207,153,429,182,5112
3867,151,349,15,500,1150
1457,77,220,405,211,6349
292,51,406,468,406,7095
1455,468,296,133,116,5500
711,276,391,228,233,7691
1998,85,274,130,9,3696
2888,50,329,372,368,1453
4028,332,147,307,258,2916
1010,385,192,33,138,9498
777,81,476,164,260,2288
2103,169,156,81,360,7088
1955,420,259,224,382,1395
990,421,74,269,348,4164
3441,364,129,463,455,8097
2847,407,334,172,196,3999
4403,431,365,15,485,8099
4416,214,37,120,285,9051
838,478,486,411,303,2931
1172,181,107,43,361,7132
1533,311,236,164,5,579
1210,16,208,353,276,8090
4158,270,446,16,426,5381
4866,375,292,355,249,6206
2362,110,405,182,174,2347
2027,130,322,239,159,5849
3855,162,318,175,198,8568
2199,92,80,1,481,9703
4301,305,174,140,261,4188
2527,147,104,99,428,2815
4643,446,91,215,263,1671
1223,496,430,478,448,5629
4092,206,79,376,154,9091
3052,57,215,120,249,3747
3114,382,79,331,377,5299
1890,375,246,471,261,5827
2526,336,429,38,421,8985
2594,178,356,473,91,1634
2912,37,317,124,500,6860
2398,50,295,7,451,8816
1680,284,450,413,137,4598
2320,245,77,281,23,7781
3963,499,454,10,407,994
3391,87,484,54,100,572
1255,106,348,325,54,7880
4262,313,45,227,327,9130
1469,91,386,379,19,2319
2460,274,173,20,260,7065
4520,444,299,119,461,61
3385,166,170,21,125,4795
2849,296,52,436,260,1880
2112,200,240,489,296,8941
1201,478,423,304,405,1155
1082,125,270,414,35,3856
4842,175,16,391,435,6568
4667,433,90,297,229,9839
2455,242,34,117,298,9524
3996,324,341,90,207,187
326,386,307,328,298,2002
2742,201,368,379,353,696
3592,119,465,478,106,6616
990,255,13,230,280,9420
3976,361,179,9,344,8277
2008,256,64,75,187,9998
1693,98,462,262,389,3345
3476,200,313,262,253,9341
2,93,307,111,327,1174
3550,121,132,253,328,4140
3050,113,14,140,205,6438
330,188,275,345,113,9753
4223,409,77,45,67,6371
4951,136,355,264,448,5019
2355,214,6,5,160,4267
1905,499,126,217,133,2586
2605,235,70,434,298,1380
645,34,223,36,494,979
501,135,159,51,452,4411
842,302,408,30,310,7060
3288,316,158,11,76,7019
4040,236,339,196,166,1302
1795,329,133,88,459,3311
1517,469,84,417,467,2335
1404,365,220,477,326,8681
3528,165,286,343,401,8098
3701,336,256,180,37,5775
1977,330,103,460,79,7360
4960,80,331,157,179,9258
3322,289,416,228,423,5306
3431,290,162,196,205,3981
2830,66,343,174,424,389
4470,121,236,375,168,1186
1661,323,263,438,195,4239
1110,465,230,321,246,8068
351,342,348,236,175,2376
2181,396,96,33,49,5056
4193,270,9,306,445,5640
4365,266,452,377,295,5097
1678,111,142,94,298,9109
